schema,event_index,time_s,event,node,peer,packet_type,src,dst,sequence,rate_kbps,size_bytes,success,reason,pathloss_db,rx_power_dbm,noise_dbm,snr_db,jsr_db,header_errors,payload_errors,total_errors,route_cost,next_hop,security_count,reservation_slot,reservation_counter,detail,statistic,value
csr-differential-trace-v1,0,0,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),1
csr-differential-trace-v1,1,0,hop_admission,7,8,data,7,1,1,,,1,admitted,,,,,,,,,,8,,,,hop_sequence=1;pending_before=0;pending_after=1;pending_limit=16;global_spad_before=17;global_spad_after=16;outstanding_before=0;outstanding_after=1;threshold=0;neighbor_spad_before=1;neighbor_spad_after=0;resend_queue_before=0;resend_queue_after=1;resend_tracked=1;resend_overflow=0,,
csr-differential-trace-v1,2,0,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queue Size (packets),1
csr-differential-trace-v1,3,0,t22_checkpoint,7,,,,,1,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,4,0,t22_checkpoint,7,,,,,2,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,5,0.002,hop_completion,7,8,data,7,1,1,,,1,ack,,,,,,,,,,8,,,,hop_sequence=1;resend_count=0;pending_before=1;pending_after=0;pending_limit=16;outstanding_before=1;outstanding_after=0;threshold_before=0;threshold_after=0;resend_queue_before=1;resend_queue_after=0;nsdp_released=1;capacity_released=1,,
csr-differential-trace-v1,6,0.002,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),0
csr-differential-trace-v1,7,0.002,t22_checkpoint,7,,,,,3,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,8,0.01,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),1
csr-differential-trace-v1,9,0.01,hop_admission,7,8,data,7,1,2,,,1,admitted,,,,,,,,,,8,,,,hop_sequence=2;pending_before=0;pending_after=1;pending_limit=16;global_spad_before=17;global_spad_after=16;outstanding_before=0;outstanding_after=1;threshold=0;neighbor_spad_before=1;neighbor_spad_after=0;resend_queue_before=0;resend_queue_after=1;resend_tracked=1;resend_overflow=0,,
csr-differential-trace-v1,10,0.01,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queue Size (packets),1
csr-differential-trace-v1,11,0.01,t22_checkpoint,7,,,,,4,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,12,0.01,t22_checkpoint,7,,,,,5,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,13,0.012,hop_completion,7,8,data,7,1,2,,,1,ack,,,,,,,,,,8,,,,hop_sequence=2;resend_count=0;pending_before=1;pending_after=0;pending_limit=16;outstanding_before=1;outstanding_after=0;threshold_before=0;threshold_after=0;resend_queue_before=1;resend_queue_after=0;nsdp_released=1;capacity_released=1,,
csr-differential-trace-v1,14,0.012,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),0
csr-differential-trace-v1,15,0.012,t22_checkpoint,7,,,,,6,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,16,0.02,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),1
csr-differential-trace-v1,17,0.02,hop_admission,7,8,data,7,1,3,,,1,admitted,,,,,,,,,,8,,,,hop_sequence=3;pending_before=0;pending_after=1;pending_limit=16;global_spad_before=17;global_spad_after=16;outstanding_before=0;outstanding_after=1;threshold=0;neighbor_spad_before=1;neighbor_spad_after=0;resend_queue_before=0;resend_queue_after=1;resend_tracked=1;resend_overflow=0,,
csr-differential-trace-v1,18,0.02,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queue Size (packets),1
csr-differential-trace-v1,19,0.02,t22_checkpoint,7,,,,,7,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,20,0.02,t22_checkpoint,7,,,,,8,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,21,0.021999999999999999,hop_completion,7,8,data,7,1,3,,,1,ack,,,,,,,,,,8,,,,hop_sequence=3;resend_count=0;pending_before=1;pending_after=0;pending_limit=16;outstanding_before=1;outstanding_after=0;threshold_before=0;threshold_after=1;resend_queue_before=1;resend_queue_after=0;nsdp_released=1;capacity_released=1,,
csr-differential-trace-v1,22,0.021999999999999999,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),0
csr-differential-trace-v1,23,0.021999999999999999,t22_checkpoint,7,,,,,9,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,24,0.029999999999999999,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),1
csr-differential-trace-v1,25,0.029999999999999999,hop_admission,7,8,data,7,1,4,,,1,admitted,,,,,,,,,,8,,,,hop_sequence=4;pending_before=0;pending_after=1;pending_limit=16;global_spad_before=17;global_spad_after=16;outstanding_before=0;outstanding_after=1;threshold=1;neighbor_spad_before=2;neighbor_spad_after=1;resend_queue_before=0;resend_queue_after=1;resend_tracked=1;resend_overflow=0,,
csr-differential-trace-v1,26,0.029999999999999999,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queue Size (packets),1
csr-differential-trace-v1,27,0.029999999999999999,t22_checkpoint,7,,,,,10,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,28,0.029999999999999999,t22_checkpoint,7,,,,,11,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,29,0.032000000000000001,hop_completion,7,8,data,7,1,4,,,1,ack,,,,,,,,,,8,,,,hop_sequence=4;resend_count=0;pending_before=1;pending_after=0;pending_limit=16;outstanding_before=1;outstanding_after=0;threshold_before=1;threshold_after=1;resend_queue_before=1;resend_queue_after=0;nsdp_released=1;capacity_released=1,,
csr-differential-trace-v1,30,0.032000000000000001,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),0
csr-differential-trace-v1,31,0.032000000000000001,t22_checkpoint,7,,,,,12,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,32,0.040000000000000001,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),1
csr-differential-trace-v1,33,0.040000000000000001,hop_admission,7,8,data,7,1,5,,,1,admitted,,,,,,,,,,8,,,,hop_sequence=5;pending_before=0;pending_after=1;pending_limit=16;global_spad_before=17;global_spad_after=16;outstanding_before=0;outstanding_after=1;threshold=1;neighbor_spad_before=2;neighbor_spad_after=1;resend_queue_before=0;resend_queue_after=1;resend_tracked=1;resend_overflow=0,,
csr-differential-trace-v1,34,0.040000000000000001,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queue Size (packets),1
csr-differential-trace-v1,35,0.040000000000000001,t22_checkpoint,7,,,,,13,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,36,0.040000000000000001,t22_checkpoint,7,,,,,14,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,37,0.042000000000000003,hop_completion,7,8,data,7,1,5,,,1,ack,,,,,,,,,,8,,,,hop_sequence=5;resend_count=0;pending_before=1;pending_after=0;pending_limit=16;outstanding_before=1;outstanding_after=0;threshold_before=1;threshold_after=1;resend_queue_before=1;resend_queue_after=0;nsdp_released=1;capacity_released=1,,
csr-differential-trace-v1,38,0.042000000000000003,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),0
csr-differential-trace-v1,39,0.042000000000000003,t22_checkpoint,7,,,,,15,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,40,0.050000000000000003,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),1
csr-differential-trace-v1,41,0.050000000000000003,hop_admission,7,8,data,7,1,6,,,1,admitted,,,,,,,,,,8,,,,hop_sequence=6;pending_before=0;pending_after=1;pending_limit=16;global_spad_before=17;global_spad_after=16;outstanding_before=0;outstanding_after=1;threshold=1;neighbor_spad_before=2;neighbor_spad_after=1;resend_queue_before=0;resend_queue_after=1;resend_tracked=1;resend_overflow=0,,
csr-differential-trace-v1,42,0.050000000000000003,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queue Size (packets),1
csr-differential-trace-v1,43,0.050000000000000003,t22_checkpoint,7,,,,,16,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,44,0.050000000000000003,t22_checkpoint,7,,,,,17,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,45,0.051999999999999998,hop_completion,7,8,data,7,1,6,,,1,ack,,,,,,,,,,8,,,,hop_sequence=6;resend_count=0;pending_before=1;pending_after=0;pending_limit=16;outstanding_before=1;outstanding_after=0;threshold_before=1;threshold_after=2;resend_queue_before=1;resend_queue_after=0;nsdp_released=1;capacity_released=1,,
csr-differential-trace-v1,46,0.051999999999999998,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),0
csr-differential-trace-v1,47,0.051999999999999998,t22_checkpoint,7,,,,,18,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,48,0.10000000000000001,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),1
csr-differential-trace-v1,49,0.10000000000000001,hop_admission,7,8,data,7,1,7,,,1,admitted,,,,,,,,,,8,,,,hop_sequence=7;pending_before=0;pending_after=1;pending_limit=16;global_spad_before=17;global_spad_after=16;outstanding_before=0;outstanding_after=1;threshold=2;neighbor_spad_before=3;neighbor_spad_after=2;resend_queue_before=0;resend_queue_after=1;resend_tracked=1;resend_overflow=0,,
csr-differential-trace-v1,50,0.10000000000000001,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queue Size (packets),1
csr-differential-trace-v1,51,0.10000000000000001,t22_checkpoint,7,,,,,19,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,52,0.10000000000000001,t22_checkpoint,7,,,,,20,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,53,0.20000000000000001,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),2
csr-differential-trace-v1,54,0.20000000000000001,hop_admission,7,8,data,7,1,8,,,1,admitted,,,,,,,,,,8,,,,hop_sequence=8;pending_before=1;pending_after=2;pending_limit=16;global_spad_before=16;global_spad_after=15;outstanding_before=1;outstanding_after=2;threshold=2;neighbor_spad_before=2;neighbor_spad_after=1;resend_queue_before=1;resend_queue_after=2;resend_tracked=1;resend_overflow=0,,
csr-differential-trace-v1,55,0.20000000000000001,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,MAC.Tx Queue Size (packets),1
csr-differential-trace-v1,56,0.20000000000000001,t22_checkpoint,7,,,,,21,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,57,0.20000000000000001,t22_checkpoint,7,,,,,22,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,58,0.20200000000000001,hop_completion,7,8,data,7,1,8,,,1,ack,,,,,,,,,,8,,,,hop_sequence=8;resend_count=0;pending_before=2;pending_after=1;pending_limit=16;outstanding_before=2;outstanding_after=1;threshold_before=2;threshold_after=2;resend_queue_before=2;resend_queue_after=1;nsdp_released=1;capacity_released=1,,
csr-differential-trace-v1,59,0.20200000000000001,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),1
csr-differential-trace-v1,60,0.20200000000000001,t22_checkpoint,7,,,,,23,,,,,,,,,,,,,,,,,,,,
csr-differential-trace-v1,61,0.29999999999999999,reservation_holdoff,7,,,,,,,,,,,,,,,,,,,,,,-1,,,
csr-differential-trace-v1,62,0.29999999999999999,statistic_sample,7,,,,,,,,,,,,,,,,,,,,,,,,HOP.Resend Queue Size (packets),2
csr-differential-trace-v1,63,0.29999999999999999,hop_admission,7,8,data,7,1,9,,,1,admitted,,,,,,,,,,8,,,,hop_sequence=9;pending_before=1;pending_after=2;pending_limit=16;global_spad_before=16;global_spad_after=15;outstanding_before=1;outstanding_after=2;threshold=2;neighbor_spad_before=2;neighbor_spad_after=1;resend_queue_before=1;resend_queue_after=2;resend_tracked=1;resend_overflow=0,,
